"COU","Country","POL","Pollutant","VAR","Variable","YEA","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"NLD","Netherlands","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,11.903,,
"NLD","Netherlands","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",23.126,,
"NLD","Netherlands","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,541.094,,
"NLD","Netherlands","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",47.455,,
"NZL","New Zealand","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,71.35,,
"NZL","New Zealand","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",125.046,,
"NZL","New Zealand","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,168.341,,
"NZL","New Zealand","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",165.519,,
"NZL","New Zealand","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,739.8,,
"NZL","New Zealand","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",122.732,,
"NOR","Norway","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,16.284,,
"NOR","Norway","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",32.741,,
"NOR","Norway","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,163.489,,
"NOR","Norway","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",81.084,,
"NOR","Norway","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,33.194,,
"NOR","Norway","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",63.588,,
"NOR","Norway","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,24.499,,
"NOR","Norway","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",58.976,,
"NOR","Norway","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,435.364,,
"NOR","Norway","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",52.337,,
"POL","Poland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,501.836,,
"POL","Poland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",19.204,,
"POL","Poland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,760.401,,
"POL","Poland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",70.733,,
"POL","Poland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,242.767,,
"POL","Poland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",77.036,,
"POL","Poland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,136.743,,
"POL","Poland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",88.409,,
"POL","Poland","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2343.31,,
"POL","Poland","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",67.914,,
"PRT","Portugal","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,45.168,,
"PRT","Portugal","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",14.217,,
"PRT","Portugal","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,152.381,,
"PRT","Portugal","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",60.698,,
"PRT","Portugal","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,69.594,,
"PRT","Portugal","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",72.35,,
"PRT","Portugal","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,49.739,,
"PRT","Portugal","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",70.472,,
"PRT","Portugal","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,280.994,,
"PRT","Portugal","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",35.295,,
"SVK","Slovak Republic","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,20.226,,
"SVK","Slovak Republic","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",13.555,,
"SVK","Slovak Republic","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,66.18,,
"SVK","Slovak Republic","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",49.013,,
"SVK","Slovak Republic","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,19.587,,
"SVK","Slovak Republic","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",18.939,,
"SVK","Slovak Republic","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,15.085,,
"SVK","Slovak Republic","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",16.105,,
"SVK","Slovak Republic","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,301.328,,
"SVK","Slovak Republic","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",28.954,,
"ESP","Spain","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,196.81,,
"ESP","Spain","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",9.65,,
"ESP","Spain","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,700.603,,
"ESP","Spain","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",51.869,,
"ESP","Spain","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,198.302,,
"ESP","Spain","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,125.353,,
"ESP","Spain","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1647.473,,
"ESP","Spain","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",41.331,,
"SWE","Sweden","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,17.376,,
"SWE","Sweden","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",16.821,,
"SWE","Sweden","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,126.858,,
"SWE","Sweden","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",45.778,,
"SWE","Sweden","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,37.757,,
"SWE","Sweden","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",57.241,,
"SWE","Sweden","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,18.471,,
"SWE","Sweden","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",41.086,,
"SWE","Sweden","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,337.281,,
"SWE","Sweden","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",30.944,,
"CHE","Switzerland","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,4.991,,
"CHE","Switzerland","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",13.626,,
"CHE","Switzerland","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,64.291,,
"CHE","Switzerland","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",44.601,,
"CHE","Switzerland","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,14.779,,
"CHE","Switzerland","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",59.288,,
"CHE","Switzerland","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,6.814,,
"CHE","Switzerland","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",42.263,,
"CHE","Switzerland","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,155.907,,
"CHE","Switzerland","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",19.358,,
"TUR","Turkey","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2527.664,,
"TUR","Turkey","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",149.51,,
"TUR","Turkey","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,785.347,,
"TUR","Turkey","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",306.014,,
"TUR","Turkey","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,237.971,,
"TUR","Turkey","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",85.625,,
"TUR","Turkey","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,381.579,,
"TUR","Turkey","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",66.401,,
"TUR","Turkey","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1590.448,,
"TUR","Turkey","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",78.494,,
"GBR","United Kingdom","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,158.953,,
"GBR","United Kingdom","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",4.218,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,837.245,,
"GBR","United Kingdom","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",25.652,,
"GBR","United Kingdom","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,176.372,,
"GBR","United Kingdom","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",46.558,,
"GBR","United Kingdom","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,107.806,,
"GBR","United Kingdom","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",45.553,,
"GBR","United Kingdom","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,1535.597,,
"GBR","United Kingdom","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",19.119,,
"USA","United States","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2110.66,,
"USA","United States","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",10.087,,
"USA","United States","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,13755.872,,
"USA","United States","PM10","Particulates (PM10)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",54.636,,
"USA","United States","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,3662.68,,
"USA","United States","PM2-5","Particulates (PM2.5)","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",53.404,,
"USA","United States","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,41393.239,,
"USA","United States","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",31.893,,
"CHL","Chile","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,268.154,,
"CHL","Chile","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,150.428,,
"CHL","Chile","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,187.498,,
"CHL","Chile","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,112.004,,
"CHL","Chile","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,2472.268,,
"EST","Estonia","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,30.853,,
"EST","Estonia","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",11.327,,
"EST","Estonia","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,32.057,,
"EST","Estonia","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",40.152,,
"EST","Estonia","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,11.269,,
"EST","Estonia","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,6.807,,
"EST","Estonia","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,129.645,,
"EST","Estonia","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",54.898,,
"ISR","Israel","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,56.199,,
"ISR","Israel","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,94.681,,
"ISR","Israel","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,138.186,,
"RUS","Russia","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,3703,,
"RUS","Russia","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,3519,,
"RUS","Russia","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,16596,,
"RUS","Russia","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,16596,,
"SVN","Slovenia","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,4.788,,
"SVN","Slovenia","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",2.382,,
"SVN","Slovenia","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,33.822,,
"SVN","Slovenia","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",46.904,,
"SVN","Slovenia","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,13.305,,
"SVN","Slovenia","PM2-5","Particulates (PM2.5)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,10.774,,
"SVN","Slovenia","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,98.845,,
"SVN","Slovenia","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",32.416,,
"OECD","OECD - Total","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",27.683,"E; I","Estimated value; Incomplete data"
"OECDE","OECD - Europe","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,7879.636,,
"OECD","OECD - Total","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,33216.98,,
"OECDE","OECD - Europe","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",31.368,,
"OECDE","OECD - Europe","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",44.167,,
"OECD","OECD - Total","NOX","Nitrogen Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,15177.37,,
"OECD","OECD - Total","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",37.04,"E; I","Estimated value; Incomplete data"
"OECDE","OECD - Europe","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,4446.786,,
"OECD","OECD - Total","NOX","Nitrogen Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",60.198,"E; I","Estimated value; Incomplete data"
"OECDE","OECD - Europe","CO","Carbon Monoxide","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,20411.52,,
"OECD","OECD - Total","SOX","Sulphur Oxides","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,8693.419,,
"OECDE","OECD - Europe","SOX","Sulphur Oxides","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",18.21,,
"LVA","Latvia","PM10","Particulates (PM10)","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,80.45,,
"AUT","Austria","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,67.891,,
"DEU","Germany","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,55.988,,
"LVA","Latvia","PM10","Particulates (PM10)","TOT","Total man-made emissions","2018","2018","TONNE","Tonnes","3","Thousands",,,27.687,,
"OECDE","OECD - Europe","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,54.09,,
"ISR","Israel","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,40.005,,
"DNK","Denmark","NOX","Nitrogen Oxides","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,46.471,,
"LTU","Lithuania","CO","Carbon Monoxide","INDEX_1990","Total emissions, Index 1990 = 100","2018","2018","IDX","Index","0","Units","1990_100","1990=100",30.462,,
"CAN","Canada","CO","Carbon Monoxide","INDEX_2000","Total emissions, Index 2000 = 100","2018","2018",,,"0","Units",,,52.972,,
